,CURROPER
60123,False
49380,True
72574,True
77408,True
63653,True
55092,True
62851,True
67568,True
50666,True
52906,True
62779,True
52890,True
51256,True
65633,True
75553,False
60741,True
65416,True
67865,True
61799,True
69665,True
78378,True
67408,True
73305,True
55825,False
77276,True
57700,True
49820,True
54458,False
48338,True
74478,True
69331,True
62803,True
52041,True
64729,True
55810,True
71356,True
73393,True
69790,True
60485,True
74786,True
59529,True
53044,True
53504,True
74004,True
49671,True
60261,True
70508,True
61464,False
52697,True
68180,True
69699,True
56138,True
72781,True
69438,True
76205,True
76047,True
65137,False
71495,True
77299,True
59606,True
68853,True
77082,True
74803,True
66725,True
54958,False
50245,True
72308,True
72090,True
52470,True
78025,True
65960,True
76439,True
67266,True
68961,True
56947,True
68654,True
52411,True
61816,True
71867,True
65507,True
48046,True
60235,True
65179,True
72226,True
52314,True
71863,True
48810,True
48414,True
76967,True
75689,True
73879,True
48427,True
48950,True
75775,True
69463,True
64923,True
57202,True
73764,True
64670,True
48548,False
55555,True
67319,True
57213,False
78590,True
73918,True
68924,False
51135,True
56178,False
74989,True
68034,True
60734,True
68324,False
52807,True
48008,True
61921,True
63017,False
50910,True
66330,False
61001,True
60162,True
67021,True
53553,True
61313,True
71158,True
55314,True
56608,True
63681,True
55029,True
66686,True
50521,False
63030,True
50626,True
50580,True
57333,True
50271,True
78434,True
51243,True
59112,True
49819,True
61506,True
54787,False
49655,True
66596,True
75507,True
68556,True
53506,False
65672,False
55362,True
49610,True
67268,True
64258,True
65879,True
71093,True
75528,True
67042,True
65335,True
77589,True
48504,True
53251,True
74835,True
53538,True
71249,False
70828,True
54322,False
76351,True
63253,True
73352,True
71593,True
58611,True
60958,True
53747,True
58740,True
52161,True
62112,True
63450,True
54371,True
62986,True
62087,True
52905,False
73878,True
53155,False
70376,True
66395,True
73567,True
60519,True
76521,True
69357,True
52394,True
51843,False
64093,True
64003,True
64569,True
74357,True
54775,False
55509,True
76546,True
63977,True
62899,True
51204,True
71059,True
59827,True
50124,True
55015,True
64444,True
59509,True
56648,True
71662,True
63317,True
64212,True
73111,True
66426,True
49810,True
77003,True
55458,True
53250,True
75941,True
68323,True
48383,False
68716,True
73465,True
52296,True
69181,True
70894,False
55706,True
71702,True
65547,False
74696,True
76901,True
59458,True
57882,True
76255,True
52595,True
60191,True
78464,True
68908,True
62635,True
51359,True
57468,True
49732,True
62845,True
71295,True
54709,True
68283,True
56935,True
57977,True
74065,True
67264,True
70537,True
49782,True
73288,True
57199,True
51341,False
57219,True
78359,True
64693,False
66228,True
72774,True
57063,True
71972,True
67671,True
68960,True
66745,True
57489,True
75363,True
73571,True
48109,True
55632,True
60374,True
78562,True
72963,True
52710,True
69479,True
65705,True
64730,True
71215,True
58758,True
74620,True
48421,True
63107,False
63071,True
72159,True
49867,True
62237,True
56904,True
50433,True
77047,True
49338,True
51195,True
62408,True
72004,True
65310,True
56538,True
66643,True
49137,True
68889,True
69523,True
48389,True
76762,True
51588,True
50019,True
75055,True
63006,True
73629,True
69819,False
59844,True
59198,True
64326,True
59285,True
65478,True
65254,True
69116,True
64757,False
65195,True
70163,False
53783,True
55716,True
66644,True
49531,True
48698,True
64275,True
58738,True
66225,True
61078,True
69559,True
65957,True
53503,True
56028,False
48367,True
63459,True
77917,True
76144,True
66365,True
73632,True
63631,False
50594,True
52379,True
48158,True
52636,True
52836,True
55325,True
53108,True
62839,True
58805,True
74192,True
71501,True
58981,True
55673,False
71134,True
67827,True
74574,True
